# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Jun 24 07:25:19 2026
#
# User preference: *
#
# CONSTRAINT:  where (tfopwg_disp like '%CP%')
#
# COLUMN toi:            TESS Object of Interest
# COLUMN tid:            TESS Input Catalog ID
# COLUMN tfopwg_disp:    TFOPWG Dispostion (CP | FP | KP | PC)
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN st_pmra:        PMRA [mas/yr]
# COLUMN st_pmraerr1:    PMRA Upper Unc [mas/yr]
# COLUMN st_pmraerr2:    PMRA Lower Unc [mas/yr]
# COLUMN st_pmralim:     PMRA Limit Flag
# COLUMN st_pmdec:       PMDec [mas/yr]
# COLUMN st_pmdecerr1:   PMDec Upper Unc [mas/yr]
# COLUMN st_pmdecerr2:   PMDec Lower Unc [mas/yr]
# COLUMN st_pmdeclim:    PMDec Limit Flag
# COLUMN pl_tranmid:     Planet Transit Midpoint Value [BJD]
# COLUMN pl_tranmiderr1: Planet Transit Midpoint Upper Unc [BJD]
# COLUMN pl_tranmiderr2: Planit Transit Midpoint Lower Unc [BJD]
# COLUMN pl_tranmidlim:  Planet Transit Midpoint Limit Flag
# COLUMN pl_orbper:      Planet Orbital Period Value [days]
# COLUMN pl_orbpererr1:  Planet Orbital Period Upper Unc [days]
# COLUMN pl_orbpererr2:  Planet Orbital Period Lower Unc [days]
# COLUMN pl_orbperlim:   Planet Orbital Period Limit Flag
# COLUMN pl_trandurh:    Planet Transit Duration Value [hours]
# COLUMN pl_trandurherr1: Planet Transit Duration Upper Unc [hours]
# COLUMN pl_trandurherr2: Planet Transit Duration Lower Unc [hours]
# COLUMN pl_trandurhlim: Planet Transit Duration Limit Flag
# COLUMN pl_trandep:     Planet Transit Depth Value [ppm]
# COLUMN pl_trandeperr1: Planet Transit Depth Upper Unc [ppm]
# COLUMN pl_trandeperr2: Planet Transit Depth Lower Unc [ppm]
# COLUMN pl_trandeplim:  Planet Transit Depth Limit Flag
# COLUMN pl_rade:        Planet Radius Value [R_Earth]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc [R_Earth]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc [R_Earth]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_insol:       Planet Insolation Value [Earth flux]
# COLUMN pl_insolerr1:   Planet Insolation Upper Unc [Earth flux]
# COLUMN pl_insolerr2:   Planet Insolation Lower Unc [Earth flux]
# COLUMN pl_insollim:    Planet Insolation Limit Flag
# COLUMN pl_eqt:         Planet Equilibrium Temperature Value [K]
# COLUMN pl_eqterr1:     Planet Equilibrium Temperature Upper Unc [K]
# COLUMN pl_eqterr2:     Planet Equilibrium Temperature Lower Unc [K]
# COLUMN pl_eqtlim:      Planet Equilibrium Temperature Limit Flag
# COLUMN st_tmag:        TESS Magnitude
# COLUMN st_tmagerr1:    TESS Magnitude Upper Unc
# COLUMN st_tmagerr2:    TESS Magnitude Lower Unc
# COLUMN st_tmaglim:     TESS Magnitude Limit Flag
# COLUMN st_dist:        Stellar Distance [pc]
# COLUMN st_disterr1:    Stellar Distance Upper Unc [pc]
# COLUMN st_disterr2:    Stellar Distance Lower Unc [pc]
# COLUMN st_distlim:     Stellar Distance Limit Flag
# COLUMN st_teff:        Stellar Effective Temperature Value [K]
# COLUMN st_tefferr1:    Stellar Effective Termperature Upper Unc [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_logg:        Stellar log(g) Value [cm/s**2]
# COLUMN st_loggerr1:    Stellar log(g) Upper Unc [cm/s**]
# COLUMN st_loggerr2:    Stellar log(g) Lower Unc [cm/s**2]
# COLUMN st_logglim:     Stellar log(g) Limit Flag
# COLUMN st_rad:         Stellar Radius Value [R_Sun]
# COLUMN st_raderr1:     Stellar Radius Upper Unc [R_Sun]
# COLUMN st_raderr2:     Stellar Radius Lower Unc [R_Sun]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN toi_created:    TOI Created Date
# COLUMN rowupdate:      Date Modified
#
toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim,toi_created,rowupdate
1052.01,317060587,CP,22h30m02.47s,337.5102740,-75d38m47.62s,-75.6465610,-63.3270000,0.046,-0.046,0,-1.9420000,0.044,-0.044,0,2458332.9412290,0.002642,-0.002642,0,9.1398040,0.0001109,-0.0001109,0,3.0912936,0.6627002,-0.6627002,0,358.4157801,33.7214740,-33.7214740,0,3.0629855,2.8175755,-2.8175755,0,243.0117630,,,,1006.9932829,,,,9.0197000,0.006,-0.006,0,129.8040000,0.5575000,-0.5575000,0,5958.2000000,76.0000000,-76.0000000,0,4.3400000,0.1200000,-0.1200000,0,1.5800000,0.1651230,-0.1651230,0,2019-08-16 20:20:47,2023-07-24 12:03:31
1054.01,366989877,CP,20h08m27.4s,302.1141740,-54d19m03s,-54.3175010,1.5940000,0.054,-0.054,0,-15.9030000,0.049,-0.049,0,2460122.7001390,0.019948,-0.019948,0,15.5077855,0.0002372,-0.0002372,0,4.5650000,0.4270000,-0.4270000,0,513.0000000,25.4443000,-25.4443000,0,2.4343200,0.1429570,-0.1429570,0,88.0718000,,,,853.0000000,,,,8.4362000,0.006,-0.006,0,88.4343000,0.2817500,-0.2817500,0,6122.0000000,194.0000000,-194.0000000,0,4.3088100,0.2685550,-0.2685550,0,1.1700000,0.0500000,-0.0500000,0,2019-08-16 20:20:48,2023-09-14 16:02:01
1055.01,320004517,CP,19h33m08.79s,293.2866150,-54d31m57.82s,-54.5327280,108.4390000,0.074,-0.074,0,-82.6320000,0.052,-0.052,0,2458661.0627110,0.000867,-0.000867,0,17.4713078,0.0000176,-0.0000176,0,4.4284819,0.0990118,-0.0990118,0,1199.7541483,28.8726270,-28.8726270,0,3.5766828,0.2409907,-0.2409907,0,53.3700317,,,,689.3568807,,,,8.0888000,0.006,-0.006,0,57.2651000,0.1869500,-0.1869500,0,5783.5400000,7.8242900,-7.8242900,0,4.4992500,0.0192310,-0.0192310,0,0.9746690,0.0546984,-0.0546984,0,2019-08-16 20:20:47,2024-10-01 10:08:01
1062.01,299799658,CP,02h32m29.03s,38.1209680,-78d01m25.26s,-78.0236830,107.8470000,0.045,-0.045,0,30.7320000,0.042,-0.042,0,2460177.2004290,0.001332,-0.001332,0,4.1150576,0.0000056,-0.0000056,0,1.0800000,0.3230000,-0.3230000,0,487.0000000,50.8548000,-50.8548000,0,2.3005700,0.1683300,-0.1683300,0,77.3573000,,,,826.0000000,,,,9.4780000,0.006,-0.006,0,82.1733000,0.1632000,-0.1632000,0,5394.0000000,185.0000000,-185.0000000,0,4.5094200,0.2760770,-0.2760770,0,0.8900000,0.0500000,-0.0500000,0,2019-08-16 20:20:47,2023-10-16 16:02:02
1064.01,79748331,CP,19h44m00.94s,296.0039350,-47d33m43.31s,-47.5620300,-3.4570000,0.124,-0.124,0,-100.8910000,0.072,-0.072,0,2458656.6684780,0.001185,-0.001185,0,6.4438657,0.0000165,-0.0000165,0,1.9309449,0.3014965,-0.3014965,0,1121.9512275,76.1576460,-76.1576460,0,2.4603440,1.6387280,-1.6387280,0,60.8313050,,,,712.2812841,,,,10.0059000,0.006,-0.006,0,68.0726000,0.3620000,-0.3620000,0,4803.0000000,178.0000000,-178.0000000,0,4.5207900,2.0034800,-2.0034800,0,0.7371890,0.0567035,-0.0567035,0,2019-08-16 20:20:42,2024-04-25 10:08:01
1064.02,79748331,CP,19h44m00.94s,296.0039350,-47d33m43.31s,-47.5620300,-3.4570000,0.124,-0.124,0,-100.8910000,0.072,-0.072,0,2458664.4901320,0.001696,-0.001696,0,12.2265595,0.0000269,-0.0000269,0,2.1904379,0.4219775,-0.4219775,0,1206.3693293,86.6094400,-86.6094400,0,2.6014766,1.7533404,-1.7533404,0,25.8970378,,,,575.3502049,,,,10.0059000,0.006,-0.006,0,68.0726000,0.3620000,-0.3620000,0,4803.0000000,178.0000000,-178.0000000,0,4.5207900,2.0034800,-2.0034800,0,0.7371890,0.0567035,-0.0567035,0,2019-08-16 20:20:42,2024-04-25 10:08:01
1073.01,158297421,CP,19h09m56.26s,287.4844020,-49d39m53.79s,-49.6649420,3.8270000,0.058,-0.058,0,4.8780000,0.038,-0.038,0,2459036.4728120,0.001293,-0.001293,0,3.9228016,0.0000122,-0.0000122,0,1.8736007,0.0798146,-0.0798146,0,31510.9004906,1047.8658000,-1047.8658000,0,13.3368705,0.4312808,-0.4312808,0,91.1675890,,,,788.0973496,,,,13.6699000,0.006,-0.006,0,300.6700000,3.8060000,-3.8060000,0,4444.0000000,168.0000000,-168.0000000,0,4.4380000,,,0,0.6983000,,,0,2019-08-16 20:20:43,2021-12-09 10:10:02
1075.01,351601843,CP,20h39m53.09s,309.9712090,-65d26m58.92s,-65.4496990,-99.7370000,0.023,-0.023,0,-59.9500000,0.039,-0.039,0,2458654.2495030,0.000554,-0.000554,0,0.6047392,0.0000056,-0.0000056,0,1.0403847,0.2214539,-0.2214539,0,1027.6833479,64.4610100,-64.4610100,0,1.8625587,1.4926332,-1.4926332,0,528.0253155,,,,1222.5973095,,,,11.1186000,0.007,-0.007,0,61.4592000,0.0943500,-0.0943500,0,4046.0000000,170.0000000,-170.0000000,0,4.6096300,0.2306780,-0.2306780,0,0.5803370,0.0172756,-0.0172756,0,2019-08-16 20:20:48,2024-09-09 10:08:01
1078.01,370133522,CP,20h27m42.88s,306.9286460,-56d27m44.23s,-56.4622870,424.4140000,0.073,-0.073,0,-1230.6200000,0.073,-0.073,0,2458654.1033200,0.000362,-0.000362,0,0.5182425,0.0000042,-0.0000042,0,0.8565249,0.0753501,-0.0753501,0,831.8920424,40.7684800,-40.7684800,0,1.3485121,0.0900143,-0.0900143,0,255.1405815,,,,1019.3295979,,,,10.1165000,0.007,-0.007,0,20.3730000,0.0192000,-0.0192000,0,3325.0000000,102.0000000,-102.0000000,0,4.8869300,0.0989410,-0.0989410,0,0.3909890,0.0117402,-0.0117402,0,2019-08-16 20:20:48,2024-09-09 10:08:01
1080.01,161032923,CP,18h25m28.4s,276.3683250,-52d12m52.46s,-52.2145730,-270.2930000,0.107,-0.107,0,-69.5520000,0.109,-0.109,0,2458654.0605770,0.001219,-0.001219,0,3.9652485,0.0000122,-0.0000122,0,1.0112593,0.5740471,-0.5740471,0,3680.7544436,458.0681500,-458.0681500,0,1.2305102,1.0583848,-1.0583848,0,5.2829448,,,,386.6684768,,,,12.7067000,0.007,-0.007,0,25.5590000,0.0541000,-0.0541000,0,3296.0000000,64.0000000,-64.0000000,0,4.9663600,0.4075840,-0.4075840,0,0.1999880,0.0059812,-0.0059812,0,2019-08-16 20:20:43,2026-03-03 12:06:51
